0x0021 exclamationMark
0x0022 quotationMark
0x0023 numberSign
0x0024 dollarSign
0x0025 percentSign
0x0026 ampersand
0x0027 apostrophe
0x0028 leftParenthesis
0x0029 rightParenthesis
0x002A asterisk
0x002B plusSign
0x002C comma
0x002D hyphenMinus
0x002E fullStop
0x002F solidus
0x0030 digitZero
0x0031 digitOne
0x0032 digitTwo
0x0033 digitThree
0x0034 digitFour
0x0035 digitFive
0x0036 digitSix
0x0037 digitSeven
0x0038 digitEight
0x0039 digitNine
0x003A colon
0x003B semicolon
0x003C lessThanSign
0x003D equalsSign
0x003E greaterThanSign
0x003F questionMark
0x0040 commercialAT
0x0041 latinCapitalLetterA
0x0042 latinCapitalLetterB
0x0043 latinCapitalLetterC
0x0044 latinCapitalLetterD
0x0045 latinCapitalLetterE
0x0046 latinCapitalLetterF
0x0047 latinCapitalLetterG
0x0048 latinCapitalLetterH
0x0049 latinCapitalLetterI
0x004A latinCapitalLetterJ
0x004B latinCapitalLetterK
0x004C latinCapitalLetterL
0x004D latinCapitalLetterM
0x004E latinCapitalLetterN
0x004F latinCapitalLetterO
0x0050 latinCapitalLetterP
0x0051 latinCapitalLetterQ
0x0052 latinCapitalLetterR
0x0053 latinCapitalLetterS
0x0054 latinCapitalLetterT
0x0055 latinCapitalLetterU
0x0056 latinCapitalLetterV
0x0057 latinCapitalLetterW
0x0058 latinCapitalLetterX
0x0059 latinCapitalLetterY
0x005A latinCapitalLetterZ
0x005B lefSquareBracket
0x005C reverseSolidus
0x005D rightSquareBracket
0x005E circumflexAccent
0x005F lowLine
0x0060 graveAccent
0x0061 latinLetterSmallA
0x0062 latinLetterSmallB
0x0063 latinLetterSmallC
0x0064 latinLetterSmallD
0x0065 latinLetterSmallE
0x0066 latinLetterSmallF
0x0067 latinLetterSmallG
0x0068 latinLetterSmallH
0x0069 latinLetterSmallI
0x006A latinLetterSmallJ
0x006B latinLetterSmallK
0x006C latinLetterSmallL
0x006D latinLetterSmallM
0x006E latinLetterSmallN
0x006F latinLetterSmallO
0x0070 latinLetterSmallP
0x0071 latinLetterSmallQ
0x0072 latinLetterSmallR
0x0073 latinLetterSmallS
0x0074 latinLetterSmallT
0x0075 latinLetterSmallU
0x0076 latinLetterSmallV
0x0077 latinLetterSmallW
0x0078 latinLetterSmallX
0x0079 latinLetterSmallY
0x007A latinLetterSmallZ
0x007B leftCurlyBracket
0x007C verticalLine
0x007D rightCurlyBracket
